;;;;;;;;;;;;x
NENG_203;Northern Caribbean Islands;;;;;;;;;;;;x
NSPA_2222;Puerto Rico;;;;;;;;;;;;x
NENG_2217;Southern Greater Antilles;;;;;;;;;;;;x
NENG_2227;Virgin Islands;;;;;;;;;;;;x
NENG_2224;Northern Leeward Islands;;;;;;;;;;;;x
NFRA_2230;Southern Leeward Islands;;;;;;;;;;;;x
NENG_2228;Northern Windward Islands;;;;;;;;;;;;x
NENG_2233;Southern Windward Islands;;;;;;;;;;;;x
NENG_2237;Trinidad & Tobago;;;;;;;;;;;;x
NHAI_2213;Hispaniola;;;;;;;;;;;;x
NENG_76;Labrador;;;;;;;;;;;;x
NBRZ_2414;Amapá;;;;;;;;;;;;x
NBRZ_2429;Ceará;;;;;;;;;;;;x
NBRZ_2426;Piauí;;;;;;;;;;;;x
NBRZ_2428;Paraíba;;;;;;;;;;;;x
NBRZ_2416;Mato Grosso do Sul;;;;;;;;;;;;x
NARG_2356;Corrientes;;;;;;;;;;;;x
NARG_2385;La Rioja;;;;;;;;;;;;x
NARG_2387;San Juan;;;;;;;;;;;;x
NARG_2383;San Luis;;;;;;;;;;;;x
NARG_2382;Córdoba;;;;;;;;;;;;x
NARG_2389;Mendoza;;;;;;;;;;;;x
NARG_2391;Río Negro;;;;;;;;;;;;x
NARG_2393;La Pampa;;;;;;;;;;;;x
NCHL_2322;Coquimbo;;;;;;;;;;;;x
NBOL_2307;Arica;;;;;;;;;;;;x
NPEU_2301;Cusco;;;;;;;;;;;;x
NPEU_2291;Trujillo;;;;;;;;;;;;x
NPEU_2293;Huancavelica;;;;;;;;;;;;x
NECU_2279;Sierra del Ecuador;;;;;;;;;;;;x
NECU_2283;Oriente;;;;;;;;;;;;x
NECU_2280;Costa del Ecuador;;;;;;;;;;;;x
NCLM_2254;Magdalena;;;;;;;;;;;;x
NCLM_2249;Santander;;;;;;;;;;;;x
NVNZ_2267;Cumana;;;;;;;;;;;;x
NVNZ_2265;Barinas;;;;;;;;;;;;x
NVNZ_2264;Caracas;;;;;;;;;;;;x
NVNZ_2278;Guayana;;;;;;;;;;;;x
NVNZ_2268;Coro;;;;;;;;;;;;x
NBOL_2313;Chuquisaca;;;;;;;;;;;;x
NBOL_2319;Beni;;;;;;;;;;;;x
NMEX_2177;Oaxaca;;;;;;;;;;;;x
NMEX_2164;Vera Cruz;;;;;;;;;;;;x
NMEX_2170;Valladolid;;;;;;;;;;;;x
NMEX_2159;San Luis Potosí;;;;;;;;;;;;x
NMEX_2138;Baja California;;;;;;;;;;;;x
NMEX_2142;Nueva Vizcaya;;;;;;;;;;;;x
NMEX_2151;Coahuila;;;;;;;;;;;;x
NMEX_2149;Santander;;;;;;;;;;;;x
NMEX_2175;Puebla;;;;;;;;;;;;x
NPOR_522;Beiras;;;;;;;;;;;;x
NSPA_506;Murcia;;;;;;;;;;;;x
NSPA_495;Aragón;;;;;;;;;;;;x
NSPA_477;León;;;;;;;;;;;;x
NSPA_479;Castilla la Vieja;;;;;;;;;;;;x
NSPA_475;Asturias-Cantabria;;;;;;;;;;;;x
NSPA_474;Galicia;;;;;;;;;;;;x
NENG_1979;Guiana;;;;;;;;;;;;x
NNET_2240;Suriname;;;;;;;;;;;;x
NFRA_2241;Cayenne;;;;;;;;;;;;x
NENG_71;Nova Scotia;;;;;;;;;;;;x
NENG_68;New Brunswick;;;;;;;;;;;;x
